Middl	DWID	Sex	Age	RaceName	CountyName 
1118716	171625462	F	65	Caucasian	Durham
1119171	171625917	M	75	Caucasian	Durham
1119247	171625993	F	62	Caucasian	Durham
1119989	171626735	M	61	Caucasian	Durham
1120145	171626891	F	72	Caucasian	Durham
1120150	171626896	F	65	Caucasian	Durham
1120364	171627110	M	79	Black	Durham
1120916	171627662	F	69	Caucasian	Durham
1121617	171628363	F	68	Caucasian	Durham
1121774	171628520	M	74	Black	Durham
1122801	171629547	F	66	Caucasian	Durham
1123087	171629833	M	67	Caucasian	Person
1123218	171629964	F	70	Black	Durham
1123243	171629989	M	63	Caucasian	Durham
1123255	171630001	F	68	Caucasian	Durham
1123896	171630642	F	72	Black	Durham
1123910	171630656	F	57	Caucasian	Durham
1124016	171630762	F	56	Caucasian	Durham
1124113	171630859	F	76	Black	Durham
1124197	171630943	F	74	Caucasian	Durham
1124212	171630958	M	59	Black	Durham
1124550	171631296	M	93	Black	Durham
1124581	171631327	F	74	Caucasian	Durham
1124615	171631361	F	61	Caucasian	Durham
1125227	171631973	F	67	Caucasian	Durham
1125499	171632245	F	55	Black	Durham
1126155	171632901	M	68	Caucasian	Durham
1126299	171633045	F	69	Caucasian	Durham
1126498	171633244	F	53	Black	Durham
1126518	171633264	F	57	Black	Durham
1126546	171633292	M	64	Black	Durham
1126788	171633534	F	57	Caucasian	Durham
1126958	171633704	F	51	Black	Durham
1127046	171633792	M	57	Black	Durham
1127302	171634048	F	63	Caucasian	Durham
1127425	171634171	F	56	Black	Durham
1127474	171634220	F	54	Black	Durham
1127507	171634253	F	64	Black	Durham
1127522	171634268	F	62	Caucasian	Durham
1127626	171634372	F	49	Caucasian	Durham
1128134	171634880	F	58	Black	Durham
1128194	171634940	F	65	Black	Durham
1128208	171634954	F	64	Black	Durham
1128719	171635465	F	67	Caucasian	Durham
1128853	171635599	F	67	Black	Durham
1128869	171635615	F	49	Caucasian	Durham
1129274	171636020	F	67	Caucasian	Durham
1129280	171636026	F	61	Caucasian	Durham
1129289	171636035	F	53	Caucasian	Durham
1129395	171636141	F	64	Black	Durham
1129867	171636613	M	62	Black	Durham
1130299	171637045	F	62	Caucasian	Durham
1130567	171637313	F	54	Caucasian	Durham
1130951	171637697	F	64	Caucasian	Durham
1130975	171637721	F	72	Caucasian	Durham
1131315	171638061	F	53	Black	Durham
1131373	171638119	F	64	Black	Durham
1131789	171638535	F	55	Caucasian	Durham
1132225	171638971	F	61	Caucasian	Durham
1132488	171639234	M	50	Black	Durham
1132888	171639634	M	57	Caucasian	Durham
1132889	171639635	F	60	Caucasian	Durham
1132969	171639715	F	58	Caucasian	Durham
1133206	171639952	F	55	Caucasian	Durham
1134419	171641165	M	51	Caucasian	Durham
1134449	171641195	F	50	Caucasian	Durham
1134614	171641360	F	57	Caucasian	Durham
1134616	171641362	M	62	Caucasian	Durham
1135311	171642057	M	63	Caucasian	Durham
1135375	171642121	F	69	Asian	Durham
1135628	171642374	F	75	Caucasian	Durham
1135899	171642645	F	63	Caucasian	Durham
1136069	171642815	F	59	Caucasian	Durham
1136200	171642946	F	74	Caucasian	Durham
1136427	171643173	F	59	Caucasian	Durham
1136609	171643355	F	63	Caucasian	Durham
1136614	171643360	F	52	Caucasian	Durham
1136731	171643477	F	59	Caucasian	Durham
1136876	171643622	F	58	Black	Durham
1136957	171643703	M	44	Caucasian	Orange
1137075	171643821	F	69	Black	Durham
1137081	171643827	M	60	Caucasian	Chatham
1137308	171644054	F	54	Caucasian	Durham
1137412	171644158	F	55	Caucasian	Durham
1137426	171644172	F	57	Caucasian	Durham
1137650	171644396	F	66	Caucasian	Durham
1137734	171644480	M	65	Caucasian	Durham
1137882	171644628	M	68	Caucasian	Durham
1138284	171645030	M	61	Caucasian	Durham
1138318	171645064	F	62	Caucasian	Durham
1138368	171645114	M	63	Caucasian	Durham
1138520	171645266	F	72	Caucasian	Durham
1138985	171645731	F	57	Caucasian	Durham
559570	171066316	F	40	Caucasian	Franklin
561061	171067807	F	55	Caucasian	Carteret
563284	171070030	F	64	Caucasian	Carteret
576651	171083397	M	55	Caucasian	Carteret
578327	171085073	F	56	Caucasian	Carteret
585732	171092478	F	45	Black	Carteret
594077	171100823	M	36	Asian	Carteret
605324	171112070	M	42	Black	Caswell
608010	171114756	M	52	Caucasian	Alamance
608649	171115395	F	49	Caucasian	Caswell
619566	171126312	F	64	Caucasian	Catawba
632043	171138789	F	55	Caucasian	Catawba
632803	171139549	F	68	Caucasian	Catawba
641775	171148521	F	44	Caucasian	Catawba
