VANID	DWID	Sex	Age	RaceName	CountyName	2015:Cat:VProp 	Ideal
94874	85901843	M	61	Black	Wake	0	63.5
83198	85889843	F	40	Hispanic	Wake	0	46.1
71921	85878228	F	53	Black	Wake	0	73.7
61323	85867301	F	72	Black	Wake	0	74.4
60176	85866122	M	35	Hispanic	Wake	0	82.1
56603	85862392	M	48	Black	Wake	0	60
56444	85862228	F	50	Black	Wake	76.7	44.47
55301	85861033	F	45	Black	Wake	0	68.2
50586	85856131	F	53	Asian	Wake	80.4	30.58
48555	85854018	F	43	Hispanic	Wake	0	85.8
48128	85853565	F	42	Black	Wake	0	70
47141	85852544	M	49	Asian	Wake	78.4	37.24
47133	85852535	M	53	Middle Eastern	Wake	71.4	65.63
94791	85901758	M	41	Black	Wake	0	70.9
75730	85882161	M	49	Asian	Wake	78.8	12.84
54751	85860467	M	34	Black	Wake	0	56.3
3275	32312454	M	43	Black	Wake	0	54.8
71701	85877999	F	32	Black	Wake	0	71.9
110036	85917384	F	53	Hispanic	Wake	0	24.5
89234	85896051	F	32	Black	Wake	0	72.1
89227	85896043	M	39	Asian	Wake	0	45.3
81460	85888054	M	33	Black	Wake	0	63.3
63215	85869259	F	62	Middle Eastern	Wake	76.6	45.41
62239	85868249	F	38	Hispanic	Wake	0	78.9
53384	85859041	M	41	Asian	Wake	74.9	30.08
179735	110156283	F	43	Black	Wake	0	61.8
126225	85934011	F	27	Black	Wake	0	72
140459	85948987	M	54	Black	Wake	0	74.9
135856	85944078	F	33	Black	Wake	0	74.3
143076	85951772	M	61	Black	Wake	0	69.7
143528	85952261	F	73	Black	Wake	0	60.2
148866	85957916	M	53	Asian	Wake	46	50.49
149876	85958969	F	26	Native American	Wake	0	89
140360	85948886	F	51	Black	Wake	0	79.2
1173560	171680306	F	36	Black	Wake	0	78.3
169382	102262305	M	64	Black	Wake	0	60.2
118568	85926066	F	48	Black	Wake	0	65.7
74599	85880993	F	45	Hispanic	Wake	0	81.2
121867	85929470	F	35	Black	Wake	0	66.7
195445	116370451	M	77	Black	Wake	0	14.6
145086	85953928	F	31	Asian	Wake	0	58.9
165642	95463687	F	67	Black	Wake	0	78.7
198927	117908943	F	51	Black	Wake	0	67.6
2268776	172775522	M	60	Black	Wake	0	55.7
1212627	171719373	M	41	Black	Wake	68.7	36.44
4241589	85480637	F	67	Black	Wake	0	45.2
4254794	85493853	F	68	Black	Wake	0	63.4
4244957	85484007	F	85	Black	Wake	0	72
4254312	85493371	F	62	Black	Wake	0	63
1231512	171738258	F	37	Black	Wake	0	66.3
1252614	171759360	M	31	Black	Wake	0	75.1
4225246	85464268	F	65	Black	Wake	0	63.5
788134	171294880	M	49	Black	Wake	0	34.1
4253176	85492234	M	70	Black	Wake	0	58.8
4225378	85464401	F	61	Black	Wake	0	64.4
4227885	85466911	F	71	Black	Wake	0	59.2
4239832	85478878	M	67	Black	Wake	0	60.7
4222165	85461179	F	53	Black	Wake	0	47.4
4231771	85470802	F	77	Black	Wake	0	58.5
4233010	85472044	F	71	Black	Wake	0	62.7
4234699	85473735	M	68	Black	Wake	66.2	71.86
4251123	85490180	M	53	Black	Wake	0	55.6
4254920	85493979	F	65	Black	Wake	0	71.9
4266704	85505793	F	60	Black	Wake	60.4	66.48
4255320	85494380	M	64	Black	Wake	5.9	69.06
4256607	85495669	M	56	Black	Wake	71.7	67.53
4257297	85496362	M	74	Black	Wake	0	64
4246984	85486036	F	64	Black	Wake	0	64.9
4257717	85496783	M	63	Black	Wake	68.2	71.87
4247698	85486751	M	71	Black	Wake	0	56.3
4248420	85487473	M	71	Black	Wake	60.5	69.4
4259919	85498992	M	64	Black	Wake	68.4	70.89
4260322	85499395	F	56	Black	Wake	0	70.3
2581610	39981745	F	40	Black	Wake	70.2	37.42
4227298	85466324	M	80	Black	Wake	0	74.2
4227968	85466994	F	62	Black	Wake	72.8	49.31
4249465	85488519	F	62	Black	Wake	0	70.1
4264400	85503483	M	64	Black	Wake	0	71
4264758	85503843	F	64	Black	Wake	0	63.9
4249466	85488520	F	84	Black	Wake	0	65.6
4265838	85504925	F	64	Black	Wake	0	72.1
4266229	85505317	F	55	Black	Wake	0	65.5
4249468	85488522	F	64	Black	Wake	0	62.9
4266383	85505471	F	60	Black	Wake	0	59.6
4262700	85501780	M	65	Black	Wake	0	56
4268970	85508062	F	66	Black	Wake	0	63.5
4259351	85498421	F	75	Black	Wake	59	64.45
4263379	85502461	F	65	Black	Wake	0	69.1
4281231	85520353	F	52	Black	Wake	0	62
4269802	85508897	M	81	Black	Wake	0	69.6
4273294	85512400	M	55	Black	Wake	58.2	55.24
4308325	85547549	M	44	Black	Wake	0	59.8
4270219	85509316	F	65	Black	Wake	71.7	59.97
4271689	85510789	F	65	Black	Wake	0	66.7
4277249	85516361	F	60	Black	Wake	0	70.5
4281325	85520447	F	53	Black	Wake	0	62.3
4262866	85501947	F	61	Black	Wake	0	66.9
4299211	85538404	F	46	Black	Wake	0	61.8
4271046	85510146	M	80	Black	Wake	0	68.9
4291697	85530859	F	62	Black	Wake	0	55.8
4309279	85548508	F	45	Black	Wake	0	76.2
4309373	85548602	F	54	Black	Wake	72.3	67.31
4318617	85557904	F	50	Black	Wake	0	73.2
4314763	85554030	F	42	Black	Wake	0	62.5
4270285	85509382	F	57	Black	Wake	0	72.8
4323123	85562435	F	63	Black	Wake	0	67.8
4315030	85554298	M	46	Asian	Wake	0	58.8
4324734	85564055	F	46	Black	Wake	0	66.9
4283575	85522706	F	55	Black	Wake	0	58.4
4299387	85538580	F	47	Black	Wake	0	67.2
4286158	85525298	F	51	Black	Wake	0	64
4291067	85530229	F	68	Black	Wake	60.7	65.49
4330824	85570177	F	57	Black	Wake	0	72.9
4294256	85533430	M	62	Black	Wake	70.9	75.63
4297489	85536672	M	62	Black	Wake	0	65.5
4297739	85536922	F	61	Native American	Wake	0	85.8
4330045	85569392	M	49	Black	Wake	0	68.5
4311041	85550281	M	68	Black	Wake	0	63.3
4329893	85569240	M	85	Black	Wake	0	66.9
4332433	85571794	F	62	Black	Wake	0	57.1
4333952	85573323	M	43	Black	Wake	0	62.3
4321291	85560593	F	52	Black	Wake	0	62.3
